,code,name
3441,DIAG 522,DIAG 522 Radiographic Techniques
3442,DIAG 523,DIAG 523 Oral Maxillofacial Imaging
3443,DIAG 615,DIAG 615 Digital and Oral Maxillofacial Imaging
3444,DIAG 621,DIAG 621 CAD/CAM in Dentistry
3445,DMAT 316L,DMAT 316L Dental Materials and Clinical Procedures
3446,DMAT 505,DMAT 505 Dental Materials Update
3447,DMAT 521a,DMAT 521a Dental Materials
3448,DMAT 521b,DMAT 521b Dental Materials
3449,DMAT 701,DMAT 701 Advanced Biomaterials
3450,DPBL 501a,DPBL 501a Dental Problem Based Learning — Human Structure I
3451,DPBL 501b,DPBL 501b Dental Problem Based Learning — Human Structure I
3452,DPBL 501c,DPBL 501c Dental Problem Based Learning — Human Structure I
3453,DPBL 502a,DPBL 502a Dental Problem Based Learning — Human Function I
3454,DPBL 502b,DPBL 502b Dental Problem Based Learning — Human Function I
3455,DPBL 502c,DPBL 502c Dental Problem Based Learning — Human Function I
3456,DPBL 503a,DPBL 503a Dental Problem Based Learning — Human Behavior I
3457,DPBL 503b,DPBL 503b Dental Problem Based Learning — Human Behavior I
3458,DPBL 503c,DPBL 503c Dental Problem Based Learning — Human Behavior I
3459,DPBL 504a,DPBL 504a Dental Problem Based Learning — Human Clinical Dentistry I
3460,DPBL 504b,DPBL 504b Dental Problem Based Learning — Human Clinical Dentistry I
3461,DPBL 504c,DPBL 504c Dental Problem Based Learning — Human Clinical Dentistry I
3462,DPBL 511a,DPBL 511a Dental Problem Based Learning — Human Structure II
3463,DPBL 511b,DPBL 511b Dental Problem Based Learning — Human Structure II
3464,DPBL 511c,DPBL 511c Dental Problem Based Learning — Human Structure II
3465,DPBL 512a,DPBL 512a Dental Problem Based Learning — Human Function II
3466,DPBL 512b,DPBL 512b Dental Problem Based Learning — Human Function II
3467,DPBL 512c,DPBL 512c Dental Problem Based Learning — Human Function II
3468,DPBL 513a,DPBL 513a Dental Problem Based Learning — Human Behavior II
3469,DPBL 513b,DPBL 513b Dental Problem Based Learning — Human Behavior II
3470,DPBL 513c,DPBL 513c Dental Problem Based Learning — Human Behavior II
3471,DPBL 514a,DPBL 514a Dental Problem Based Learning — Human Clinical Dentistry II
3472,DPBL 514b,DPBL 514b Dental Problem Based Learning — Human Clinical Dentistry II
3473,DPBL 514c,DPBL 514c Dental Problem Based Learning — Human Clinical Dentistry II
3474,DPBL 521a,DPBL 521a Dental Problem Based Learning — Human Structure III
3475,DPBL 521b,DPBL 521b Dental Problem Based Learning — Human Structure III
3476,DPBL 521c,DPBL 521c Dental Problem Based Learning — Human Structure III
3477,DPBL 522a,DPBL 522a Dental Problem Based Learning — Human Function III
3478,DPBL 522b,DPBL 522b Dental Problem Based Learning — Human Function III
3479,DPBL 522c,DPBL 522c Dental Problem Based Learning — Human Function III
3480,DPBL 523a,DPBL 523a Dental Problem Based Learning — Human Behavior III
3481,DPBL 523b,DPBL 523b Dental Problem Based Learning — Human Behavior III
3482,DPBL 523c,DPBL 523c Dental Problem Based Learning — Human Behavior III
3483,DPBL 524a,DPBL 524a Dental Problem Based Learning — Human Clinical Dentistry III
3484,DPBL 524b,DPBL 524b Dental Problem Based Learning — Human Clinical Dentistry III
3485,DPBL 524c,DPBL 524c Dental Problem Based Learning — Human Clinical Dentistry III
3486,DPBL 531a,DPBL 531a Dental Problem Based Learning — Human Structure IV
3487,DPBL 531b,DPBL 531b Dental Problem Based Learning — Human Structure IV
3488,DPBL 532a,DPBL 532a Dental Problem Based Learning — Human Function IV
3489,DPBL 532b,DPBL 532b Dental Problem Based Learning — Human Function IV
3490,DPBL 533a,DPBL 533a Dental Problem Based Learning — Human Behavior IV
3491,DPBL 533b,DPBL 533b Dental Problem Based Learning — Human Behavior IV
3492,DPBL 534a,DPBL 534a Dental Problem Based Learning — Human Clinical Dentistry IV
3493,DPBL 534b,DPBL 534b Dental Problem Based Learning — Human Clinical Dentistry IV
3494,DPHR 410,DPHR 410 Principles of Pharmacology
3495,DPHR 501,DPHR 501 Pharmacology
3496,DPHR 601,DPHR 601 Clinical Drug Therapy in Dentistry
3497,DPHR 701,DPHR 701 Advanced Pharmacology
3498,DSCI 250,DSCI 250 Introduction to Data Science
3499,DSCI 351,DSCI 351 Foundations of Data Management
3500,DSCI 352,DSCI 352 Applied Machine Learning and Data Mining
3501,DSCI 429,DSCI 429 Security and Privacy
3502,DSCI 454,DSCI 454 Data Visualization and User Interface Design
3503,DSCI 510,DSCI 510 Principles of Programming for Data Science
3504,DSCI 519,DSCI 519 Foundations and Policy for Information Security
3505,DSCI 523,DSCI 523 Computer Systems Assurance
3506,DSCI 525,"DSCI 525 Trusted System Design, Analysis and Development"
3507,DSCI 526,DSCI 526 Secure Systems Administration
3508,DSCI 527,DSCI 527 Secure Systems Engineering
3509,DSCI 528,DSCI 528 Computer Forensics
3510,DSCI 529,DSCI 529 Security and Privacy
3511,DSCI 549,DSCI 549 Introduction to Computational Thinking and Data Science
3512,DSCI 550,DSCI 550 Data Science at Scale
3513,DSCI 551,DSCI 551 Foundations of Data Management
3514,DSCI 552,DSCI 552 Machine Learning for Data Science
3515,DSCI 553,DSCI 553 Foundations and Applications of Data Mining
3516,DSCI 554,DSCI 554 Data Visualization
3517,DSCI 555,DSCI 555 Interaction Design and Usability Testing
3518,DSCI 556,DSCI 556 User Experience Design and Strategy
3519,DSCI 558,DSCI 558 Building Knowledge Graphs
3520,DSCI 559,DSCI 559 Introduction to Data Management
3521,DSCI 560,DSCI 560 Data Science Professional Practicum
3522,DSCI 562,DSCI 562 Integration of Medical Imaging Systems
3523,DSCI 563,"DSCI 563 Medical Diagnostics, Therapeutics and Informatics Applications"
3524,DSCI 564,DSCI 564 Probability and Statistics for Data Science
3525,DSCI 570,DSCI 570 Foundations of Communication Data Science
3526,DSCI 590,DSCI 590 Directed Research
3527,DSCI 599,DSCI 599 Special Topics
3528,DSM 510,DSM 510 Introduction to Digital Social Media
3529,DSM 520,DSM 520 Managing Technologies for Digital Media
3530,DSM 550,DSM 550 Analytics and Research Methodology
3531,DSM 560,"DSM 560 Digital Media Policy, Law, Practices, and Regulation"
3532,DSM 590,DSM 590 Directed Research
3533,DSM 596,DSM 596 Final Project Capstone
3534,DSM 599,DSM 599 Special Topics
3535,DSO 401,DSO 401 Business Information Systems – Spreadsheet Applications
3536,DSO 402,DSO 402 Business Information Systems – Database Applications
3537,DSO 424,DSO 424 Business Forecasting
3538,DSO 427,DSO 427 Designing Spreadsheet-Based Business Models
3539,DSO 428,DSO 428 Essentials and Digital Frontiers of Big Data
3540,DSO 431,DSO 431 Foundations of Digital Business Innovation
3541,DSO 433,DSO 433 Designing Digital Processes and User Experiences
3542,DSO 435,DSO 435 Enterprise Data Architecture
3543,DSO 443,DSO 443 Current Trends in Digital Business Models
3544,DSO 455,DSO 455 Project Management
3545,DSO 462,DSO 462 Managing a Small Business on the Internet
3546,DSO 464,DSO 464 Deep Learning for AI and Business Applications
3547,DSO 482,DSO 482 Supply Chain Management
3548,DSO 483,DSO 483 Operations Consulting
3549,DSO 499,DSO 499 Special Topics
3550,DSO 505,DSO 505 Sustainable Supply Chains
3551,DSO 506,DSO 506 Sourcing and Supplier Management
3552,DSO 510,DSO 510 Business Analytics
3553,DSO 516,DSO 516 Probability and Data Modeling
3554,DSO 520,DSO 520 Logistics Management
3555,DSO 522,DSO 522 Applied Time Series Analysis for Forecasting
3556,DSO 528,"DSO 528 Data Warehousing, Business Intelligence, and Data Mining"
3557,DSO 529,DSO 529 Advanced Regression Analysis
3558,DSO 530,DSO 530 Applied Modern Statistical Learning Methods
3559,DSO 531,DSO 531 Digital Foundations for Business Innovation
3560,DSO 534,DSO 534 Discrete-Event Simulation for Process Management
3561,DSO 536,DSO 536 Monte Carlo Simulation and Decision Models
3562,DSO 543,DSO 543 Global Business Issues in the Networked Digital Industry
3563,DSO 545,DSO 545 Statistical Computing and Data Visualization
3564,DSO 547,DSO 547 Designing Spreadsheet-Based Business Models
3565,DSO 549,DSO 549 Application of Lean Six Sigma
3566,DSO 551,DSO 551 Digital Transformation in the Global Enterprise
3567,DSO 552,DSO 552 SQL Databases for Business Analysts
3568,DSO 553,DSO 553 NoSQL Databases in Big Data
3569,DSO 554,DSO 554 Digital Strategies for Sustainability in Global Markets
3570,DSO 556,DSO 556 Business Models for Digital Platforms
3571,DSO 557a,DSO 557a Global Supply Chain Management in International Settings
3572,DSO 557b,DSO 557b Global Supply Chain Management in International Settings
3573,DSO 560,DSO 560 Text Analytics and Natural Language Processing
3574,DSO 562,DSO 562 Fraud Analytics
3575,DSO 570,"DSO 570 The Analytics Edge: Data, Models, and Effective Decisions"
3576,DSO 572,DSO 572 Strategies for Digital Analytics
3577,DSO 573,DSO 573 Data Analytics Driven Dynamic Strategy and Execution
3578,DSO 574,DSO 574 Using Big Data: Challenges and Opportunities
3579,DSO 580,DSO 580 Project Management
3580,DSO 581,DSO 581 Supply Chain Management
3581,DSO 582,DSO 582 Service Management: Economics and Operations
3582,DSO 583,DSO 583 Operations Consulting
3583,DSO 586,DSO 586 Global Healthcare Operations Management
3584,DSO 588,DSO 588 Supply Chain Finance
3585,DSO 590,DSO 590 Directed Research
3586,DSO 592,DSO 592 Field Research in Data Sciences or Operations
3587,DSO 593,DSO 593 Independent Research in Data Sciences or Operations
3588,DSO 595,DSO 595 Internship in Data Sciences or Operations
3589,DSO 596,DSO 596 Research Practicum in Data Sciences or Operations
3590,DSO 597,DSO 597 Consulting Project in Data Sciences or Operations
3591,DSO 598,DSO 598 Special Topics
3592,DSO 599,DSO 599 Special Topics
3593,DSO 606,DSO 606 Bayesian Data Analysis
3594,DSO 607,DSO 607 High Dimensional Statistics and Big Data Problems
3595,DSO 621,DSO 621 Research Forum
3596,DSO 670,DSO 670 Current Research in Operations Management
3597,DSO 671,DSO 671 Inventory Models and Supply Chain Management
3598,DSO 673,DSO 673 Mathematical Programming
3599,DSO 674,DSO 674 Queueing and Stochastic Networks
3600,DSO 677,DSO 677 Dynamic Programming and Markov Decision Processes
3601,DSO 699,DSO 699 Special Topics
3602,DSR 542,DSR 542 Principles of Developmental and Stem Cell Biology
3603,DSR 574,DSR 574 Stem Cell and Developmental Biology Seminar Series
3604,DSR 580,DSR 580 Clinical Perspective of Regenerative Medicine
3605,DSR 610,DSR 610 Current Topics in Regenerative Medicine
3606,DSR 620,DSR 620 Current Topics in Stem Cell Biology and Organogenesis
3607,DSR 790,DSR 790 Research
3608,DSR 794a,DSR 794a Doctoral Dissertation
3609,DSR 794b,DSR 794b Doctoral Dissertation
3610,DSR 794c,DSR 794c Doctoral Dissertation
3611,DSR 794d,DSR 794d Doctoral Dissertation
3612,DSR 794z,DSR 794z Doctoral Dissertation
3613,EALC 101x,EALC 101x Conversational Chinese and Intercultural Communication
3614,EALC 102,"EALC 102 Language, Art and Culture: Calligraphy"
3615,EALC 103a,EALC 103a Fundamental Chinese I
3616,EALC 103b,EALC 103b Fundamental Chinese I
3617,EALC 104,EALC 104 Chinese I
3618,EALC 106,EALC 106 Chinese II
3619,EALC 108,EALC 108 Reading and Writing Chinese
3620,EALC 110gp,EALC 110gp East Asian Humanities: The Great Tradition
3621,EALC 115,EALC 115 Korean I
3622,EALC 117,EALC 117 Korean II
3623,EALC 118,EALC 118 Essential Communications in Korean I
3624,EALC 119,EALC 119 Essential Communications in Korean II
3625,EALC 120,EALC 120 Japanese I
3626,EALC 121,EALC 121 Extensive Reading in Japanese I
3627,EALC 122,EALC 122 Japanese II
3628,EALC 125g,EALC 125g Introduction to Contemporary East Asian Cinema and Culture
3629,EALC 130gp,EALC 130gp Introduction to East Asian Ethical Thought
3630,EALC 145g,"EALC 145g Introduction to Chinese Culture, Art and Literature"
3631,EALC 150gw,EALC 150gw Global Chinese Cinema and Cultural Studies
3632,EALC 202,"EALC 202 Language, Art, and Culture: Calligraphy II"
3633,EALC 204,EALC 204 Chinese III
3634,EALC 206,EALC 206 Chinese IV
3635,EALC 207a,EALC 207a Intermediate Chinese: Reading and Oral Communication
3636,EALC 207b,EALC 207b Intermediate Chinese: Reading and Oral Communication
3637,EALC 215,EALC 215 Korean III
3638,EALC 217,EALC 217 Korean IV
3639,EALC 220,EALC 220 Japanese III
3640,EALC 221,EALC 221 Extensive Reading in Japanese II
3641,EALC 222,EALC 222 Japanese IV
3642,EALC 255gw,EALC 255gw Southeast Asian Literature and Film
3643,EALC 264g,EALC 264g Asian Aesthetic and Literary Tradition
3644,EALC 304,EALC 304 Advanced Modern Chinese I
3645,EALC 306,EALC 306 Advanced Modern Chinese II
3646,EALC 315,EALC 315 Advanced Korean I
3647,EALC 317,EALC 317 Advanced Korean II
3648,EALC 318,EALC 318 Readings in Contemporary Korean
3649,EALC 320,EALC 320 Advanced Japanese I
3650,EALC 322,EALC 322 Advanced Japanese II
3651,EALC 324,EALC 324 Contemporary China: Cultural Politics and Social Realities
3652,EALC 332,EALC 332 Modern Korean Literature in Translation
3653,EALC 333g,EALC 333g Introduction to Korean Film
3654,EALC 334,EALC 334 Chinese Language Through Films and Television
3655,EALC 335m,EALC 335m Korean American Literature
3656,EALC 336,EALC 336 Chinese Language through Films and Television II
3657,EALC 340gp,EALC 340gp Japanese Civilization
3658,EALC 342gp,EALC 342gp Japanese Literature and Culture
3659,EALC 344gp,EALC 344gp Korean Culture from Ancient to Modern Times
3660,EALC 345,EALC 345 Korean Civilization
3661,EALC 346g,"EALC 346g Hallyu, the Korean Wave"
3662,EALC 350gp,EALC 350gp Chinese Civilization
3663,EALC 352g,EALC 352g Chinese Literature and Culture
3664,EALC 354g,EALC 354g Modern Chinese Literature in Translation
3665,EALC 355,EALC 355 Studies in Chinese Thought
3666,EALC 358g,EALC 358g Transnational Chinese Literature and Culture
3667,EALC 360g,"EALC 360g Performing Japan: Bodies, Media, and Textuality"
3668,EALC 361,EALC 361 Global East Asia
3669,EALC 365,EALC 365 Studies in Japanese Thought
3670,EALC 366,EALC 366 Chinese Professional Internship: Communication and Culture
3671,EALC 374,EALC 374 Language and Society in East Asia
3672,EALC 375,EALC 375 Women and Gender in China: Past and Present
3673,EALC 377,EALC 377 Law and Society in Premodern China and Japan
3674,EALC 380,EALC 380 Cultural Topics in East Asian Literature
3675,EALC 381g,EALC 381g Visual Cultures of Asia
3676,EALC 382,EALC 382 Art and Cultural Heritage in East Asia
3677,EALC 383,EALC 383 Later Chinese Art
3678,EALC 384,EALC 384 Early Chinese Art
3679,EALC 385,"EALC 385 Myth, Folklore, and Fantasy in Japanese Literature and Film"
3680,EALC 386,EALC 386 Readings in Modern Korean Literature
3681,EALC 387,EALC 387 Early Japanese Art
3682,EALC 388,EALC 388 Later Japanese Art
3683,EALC 390,EALC 390 Special Problems
3684,EALC 400,EALC 400 Classical Chinese I
3685,EALC 402,EALC 402 Classical Chinese II
3686,EALC 404,EALC 404 Advanced Modern Chinese III
3687,EALC 406,EALC 406 Advanced Modern Chinese IV
3688,EALC 407,EALC 407 News and Web Chinese
3689,EALC 410,EALC 410 Chinese-English Translation
3690,EALC 412a,EALC 412a Business Chinese
3691,EALC 412b,EALC 412b Business Chinese
3692,EALC 413,EALC 413 Business Japanese
3693,EALC 415,EALC 415 Advanced Korean III
3694,EALC 416,EALC 416 Advanced Chinese Oral Communication
3695,EALC 417,EALC 417 Advanced Korean IV
3696,EALC 418,EALC 418 Korean Writing in Mixed Script
3697,EALC 419,EALC 419 Newspaper and Documentary Korean
3698,EALC 422,EALC 422 Advanced Japanese III
3699,EALC 424,EALC 424 Advanced Japanese IV
3700,EALC 426,EALC 426 Classical Japanese
3701,EALC 427,EALC 427 Women's Lives in Premodern Japanese Literature
3702,EALC 428,EALC 428 Nature and the Ecological Imagination in Japanese Literature
3703,EALC 429,EALC 429 Gender in Korean Film and Literature
3704,EALC 430,EALC 430 Gender and Sexuality in Korean Literature and Culture
3705,EALC 431,EALC 431 The Taoist Tradition
3706,EALC 435,EALC 435 Ethnic Identity and Minority Politics in China
3707,EALC 438,EALC 438 The Tale of Genji and its Worlds
3708,EALC 440,EALC 440 Current Topics in Japanese
3709,EALC 450,EALC 450 Contemporary Japanese Literature and Global Modernity
3710,EALC 452,EALC 452 Chinese Fiction
3711,EALC 454,EALC 454 Bildungsroman in Modern East Asia
3712,EALC 455,EALC 455 Japanese Fiction
3713,EALC 460,"EALC 460 Love, Self and Gender in Japanese Literature"
3714,EALC 465,EALC 465 Topics in Korean Visual and Cultural Studies
3715,EALC 470,EALC 470 Introduction to East Asian Linguistics
3716,EALC 480,EALC 480 Marxism and Culture in East Asia
3717,EALC 481,EALC 481 Studies in Japanese Art
3718,EALC 482,EALC 482 Japanese Photography
3719,EALC 484,EALC 484 Studies in Chinese Art
3720,EALC 485,EALC 485 Material Culture of the Silk Road
3721,EALC 489,"EALC 489 The Mongol Era in China: Genghis Khan, Khubilai, Marco Polo"
3722,EALC 490x,EALC 490x Directed Research
3723,EALC 494a,EALC 494a Honors Thesis
3724,EALC 494b,EALC 494b Honors Thesis
3725,EALC 499,EALC 499 Special Topics
3726,EALC 500,EALC 500 Advanced Classical Chinese I
3727,EALC 501,EALC 501 History of Chinese Literature
3728,EALC 502,EALC 502 Advanced Classical Chinese II
3729,EALC 503,EALC 503 Chinese Poetry
3730,EALC 504,EALC 504 Selections from Modern Chinese Literature
3731,EALC 505,EALC 505 Introduction to East Asian Languages and Cultures
3732,EALC 506,EALC 506 Selections from Classical Chinese Literature
3733,EALC 507,EALC 507 East Asia in Cross-Cultural Theories
3734,EALC 509,EALC 509 Transnational Korean Cinema
3735,EALC 510,EALC 510 Contemporary Japanese Cinema
3736,EALC 512,EALC 512 Japanese Literature and Film
3737,EALC 515,EALC 515 Classical Japanese Poetics
3738,EALC 520,EALC 520 Modern Japanese Writers
3739,EALC 522,EALC 522 Classical Japanese Writers
3740,EALC 528,EALC 528 Ecocriticism and the Environmental Humanities in East Asia
3741,EALC 530,"EALC 530 Race, Ethnicity and Multiculturalism in East Asia"
3742,EALC 531,EALC 531 Proseminar in Chinese Cultural History
3743,EALC 532,EALC 532 Proseminar in Korean Cultural History
3744,EALC 533,EALC 533 Proseminar in Japanese Cultural History
3745,EALC 534,EALC 534 Modernity and Cultural Representation in Korea
3746,EALC 535,EALC 535 Proseminar in Chinese Visual Culture
3747,EALC 536,EALC 536 Studies in Modern Japanese History
3748,EALC 537,EALC 537 Structure of the Korean Language
3749,EALC 541,EALC 541 Seminar: Japan
3750,EALC 543,EALC 543 Seminar: Japanese Literature
3751,EALC 545,EALC 545 Japanese Literary Criticism and Theory
3752,EALC 547,EALC 547 Structure of the Japanese Language
3753,EALC 551,EALC 551 Seminar: China
3754,EALC 553,EALC 553 Seminar: Chinese Literature
3755,EALC 555,EALC 555 Chinese Literary Criticism and Theory
3756,EALC 556,EALC 556 Seminar on Women and the Family in China
3757,EALC 557,EALC 557 Structure of the Chinese Language
3758,EALC 558,EALC 558 History of the Chinese Language
3759,EALC 560,EALC 560 Comparative Syntax of East Asian Languages
3760,EALC 561,EALC 561 Topics and Issues in East Asian Linguistics
3761,EALC 562,EALC 562 Teaching of the East Asian Languages
3762,EALC 565,EALC 565 Bibliography and Research Methods in Chinese Studies
3763,EALC 570,EALC 570 Narratives of Desire in Modern Chinese Literature
3764,EALC 575,EALC 575 Literary and Artistic Movements in Modern China
3765,EALC 580,EALC 580 Readings in East Asian Linguistics
3766,EALC 588a,EALC 588a Directed Readings
3767,EALC 588b,EALC 588b Directed Readings
3768,EALC 590,EALC 590 Directed Research
3769,EALC 593,EALC 593 Teaching Practicum for East Asian Studies
3770,EALC 594a,EALC 594a Master's Thesis
3771,EALC 594b,EALC 594b Master's Thesis
3772,EALC 594z,EALC 594z Master's Thesis
3773,EALC 596,EALC 596 Internship for Curricular Practical Training
3774,EALC 599,EALC 599 Special Topics
3775,EALC 610,EALC 610 Seminar: Buddhism and the Literary Arts in Japan
3776,EALC 620,EALC 620 Seminar in East Asian Linguistics
3777,EALC 650,EALC 650 Research Seminar in Chinese Documents
3778,EALC 700,EALC 700 Professionalization Seminar for Advanced Graduate Students
3779,EALC 794a,EALC 794a Doctoral Dissertation
3780,EALC 794b,EALC 794b Doctoral Dissertation
3781,EALC 794c,EALC 794c Doctoral Dissertation
3782,EALC 794d,EALC 794d Doctoral Dissertation
3783,EALC 794z,EALC 794z Doctoral Dissertation
3784,EASC 150gp,EASC 150gp East Asian Societies
3785,EASC 160gmp,EASC 160gmp China and the World
3786,EASC 360,EASC 360 Global East Asia
3787,EASC 490x,EASC 490x Directed Research
3788,EASC 495,EASC 495 Honors Thesis
3789,EASC 499,EASC 499 Special Topics
3790,EASC 590,EASC 590 Directed Research
3791,EASC 591,EASC 591 Interdisciplinary Seminar
3792,EASC 592,EASC 592 Proseminar on Issues and Trends in Contemporary East Asia
3793,EASC 593x,EASC 593x Understanding East Asia: An Introduction for Professional School Students
3794,EASC 594a,EASC 594a Master's Thesis
3795,EASC 594b,EASC 594b Master's Thesis
3796,EASC 594z,EASC 594z Master's Thesis
3797,EASC 595,EASC 595 Research Methods and Prospectus Writing
3798,EASC 596,EASC 596 Internship for Curricular Practical Training
3799,EASC 599,EASC 599 Special Topics
3800,ECON 101,"ECON 101 Free People, Free Thought and Free Markets"
3801,ECON 203g,ECON 203g Principles of Microeconomics
3802,ECON 205g,ECON 205g Principles of Macroeconomics
3803,ECON 238xg,ECON 238xg Political Economy and Social Issues
3804,ECON 303,ECON 303 Intermediate Microeconomic Theory
3805,ECON 304,ECON 304 Mathematical Microeconomics
3806,ECON 305,ECON 305 Intermediate Macroeconomic Theory
3807,ECON 317,ECON 317 Introduction to Statistics for Economists
3808,ECON 318,ECON 318 Introduction to Econometrics
3809,ECON 319,ECON 319 Advanced Introduction to Econometrics
3810,ECON 322,ECON 322 Economic History and Modernization of the Middle East
3811,ECON 330,ECON 330 The Political Economy of Institutions
3812,ECON 332,"ECON 332 Contracts, Organizations and Institutions"
3813,ECON 339,ECON 339 Philosophy of Economics
3814,ECON 340,ECON 340 Economics of Less Developed Countries
3815,ECON 342,ECON 342 Economic Development of the Middle East
3816,ECON 343,ECON 343 Economic Development of East Asia
3817,ECON 344,ECON 344 Economic Development of Sub-Saharan Africa
3818,ECON 346,ECON 346 Economics of Transition and Development: China
3819,ECON 348g,ECON 348g Current Problems of the American Economy
3820,ECON 350,ECON 350 The World Economy
3821,ECON 351x,ECON 351x Microeconomics for Business
3822,ECON 352x,ECON 352x Macroeconomics for Business
3823,ECON 357,"ECON 357 Money, Credit, and Banking"
3824,ECON 360,ECON 360 Public Finance
3825,ECON 361,ECON 361 Understanding Financial Crises
3826,ECON 366,ECON 366 Urban Economics
3827,ECON 369,ECON 369 Economics of European Integration
3828,ECON 390,ECON 390 Special Problems
3829,ECON 395,ECON 395 Economic Policy Issues
3830,ECON 401,ECON 401 Mathematical Methods in Economics
3831,ECON 404,ECON 404 Games and Economics
3832,ECON 405,ECON 405 Neuroeconomics
3833,ECON 410,ECON 410 Economics of Health and Healthcare
3834,ECON 415,ECON 415 Behavioral Economics
3835,ECON 419,ECON 419 Advanced Econometrics
3836,ECON 420,ECON 420 Experimental Economics
3837,ECON 432,ECON 432 Economics of Happiness
3838,ECON 433,ECON 433 Empirical Economics Research
3839,ECON 434,ECON 434 Economic Analysis of Law
3840,ECON 450,ECON 450 International Trade
3841,ECON 451,ECON 451 The Politics of International Trade
3842,ECON 452,ECON 452 International Finance
3843,ECON 457,ECON 457 Financial Markets
3844,ECON 460,ECON 460 Economic Applications of Machine Learning
3845,ECON 471,ECON 471 Economics of Labor Markets and Human Capital
3846,ECON 472,ECON 472 Economics of Medical Care
3847,ECON 474,ECON 474 Economic Consulting and Applied Managerial Economics
3848,ECON 480,ECON 480 Economics of Industrial Organization
3849,ECON 487,ECON 487 Resource and Environmental Economics
3850,ECON 490x,ECON 490x Directed Research
3851,ECON 495,ECON 495 Honors Thesis
3852,ECON 499,ECON 499 Special Topics
3853,ECON 500,ECON 500 Microeconomic Analysis and Policy
3854,ECON 501,ECON 501 Macroeconomic Analysis and Policy
3855,ECON 502,ECON 502 Mathematical Methods in Dynamic Economics
3856,ECON 504,ECON 504 Game Theory with Economic and Financial Applications
3857,ECON 508,ECON 508 Neurofinance
3858,ECON 513,ECON 513 Practice of Econometrics
3859,ECON 514,ECON 514 Empirical Finance
3860,ECON 515,ECON 515 Time Series Analysis
3861,ECON 521,ECON 521 Open Economy Macroeconomics
3862,ECON 523,ECON 523 Economic History and Development
3863,ECON 527,ECON 527 Theory of Value: Classical Origins and Neoclassical Critique
3864,ECON 533,ECON 533 Capstone Research Seminar
3865,ECON 537,"ECON 537 Contracts, Organizations and Institutions"
3866,ECON 538,ECON 538 Values and Social Analysis
3867,ECON 541,ECON 541 Economic Development
3868,ECON 550,ECON 550 Applied Trade Policy
3869,ECON 570,ECON 570 Big Data Econometrics
3870,ECON 580,ECON 580 Antitrust Economics and Competition Policy
3871,ECON 584,ECON 584 Economic Consulting and Applied Econometrics
3872,ECON 590,ECON 590 Directed Research
3873,ECON 593x,ECON 593x Practicum in Teaching the Liberal Arts
3874,ECON 594a,ECON 594a Master's Thesis
3875,ECON 594b,ECON 594b Master's Thesis
3876,ECON 594z,ECON 594z Master's Thesis
3877,ECON 595,ECON 595 Research Seminar in Spatial Economics and Data Sciences
3878,ECON 596,ECON 596 Internship for Curricular Practical Training
3879,ECON 599,ECON 599 Special Topics
3880,ECON 600,ECON 600 Economics of Choice
3881,ECON 601,ECON 601 Microeconomic Theory I
3882,ECON 602,ECON 602 Macroeconomic Theory I
3883,ECON 603,ECON 603 Microeconomic Theory II
3884,ECON 604,ECON 604 Game Theory
3885,ECON 605,ECON 605 Macroeconomic Theory II
3886,ECON 606,ECON 606 Behavioral Theories of Decision-Making
3887,ECON 607,ECON 607 Topics in Dynamic Optimization
3888,ECON 608,ECON 608 Advanced Neuroeconomics
3889,ECON 609,ECON 609 Econometric Methods
3890,ECON 610,ECON 610 Quantitative Analysis in Macroeconomics
3891,ECON 611,ECON 611 Probability and Statistics for Economists
3892,ECON 612,ECON 612 Econometric Theory
3893,ECON 613,ECON 613 Economic and Financial Time Series I
3894,ECON 614,ECON 614 Economic and Financial Time Series II
3895,ECON 615,ECON 615 Applied Econometrics
3896,ECON 616,ECON 616 Experimental Economics
3897,ECON 620aL,ECON 620aL Experimental Methods I
3898,ECON 620bL,ECON 620bL Experimental Methods II
3899,ECON 625,ECON 625 Economic Analysis of Social Networks
3900,ECON 634,ECON 634 Political Economy of Institutions
3901,ECON 636,ECON 636 Health Economics I
3902,ECON 639,ECON 639 Contemporary Economic Policy: Theory and Practice
3903,ECON 641,ECON 641 Empirical Analysis of Economic Development
3904,ECON 642,"ECON 642 Poverty, Human Resources and Economic Development"
3905,ECON 644,ECON 644 Economic Development Programming and Policy Planning
3906,ECON 645,ECON 645 Economic Growth
3907,ECON 650,ECON 650 International Trade Theory
3908,ECON 651,ECON 651 International Monetary Theory
3909,ECON 652,ECON 652 Economics of Financial Markets II
3910,ECON 653,ECON 653 Empirical International Economics
3911,ECON 659,ECON 659 Economics of Financial Markets I
3912,ECON 661,ECON 661 Topics in Macroeconomics
3913,ECON 663,ECON 663 Financial and Monetary Macroeconomics
3914,ECON 671,ECON 671 Economics of Labor and Human Capital
3915,ECON 673,ECON 673 Program Evaluation
3916,ECON 680,ECON 680 Industrial Organization
3917,ECON 681,ECON 681 Economics of Regulated Industries
3918,ECON 687,ECON 687 Urban Economics
3919,ECON 688,ECON 688 Empirical Industrial Organization
3920,ECON 690,ECON 690 Seminar in Economic Theory
3921,ECON 691,ECON 691 Seminar in Econometrics
3922,ECON 692,ECON 692 Seminar in Economic Development
3923,ECON 693,ECON 693 Seminar in Applied Economics and Public Policy
3924,ECON 694,ECON 694 Seminar in Dynamic Economics
