,code,name
111,ACCT 494,ACCT 494 Marshall Honors Research and Thesis
112,ACCT 495,"ACCT 495 Accounting Internship: Work, Ethics and Communication"
113,ACCT 499,ACCT 499 Special Topics
114,ACCT 509,ACCT 509 Concepts of Financial and Management Accounting
115,ACCT 525x,ACCT 525x Intensive Accounting Principles and Practices
116,ACCT 526,ACCT 526 Global Accounting Experience
117,ACCT 527,ACCT 527 Financial Statement Analysis - Audit Perspective
118,ACCT 528,"ACCT 528 Fair Value Accounting: GAAP, IFRS and Emerging Issues"
119,ACCT 529,ACCT 529 Tax Data Analytics
120,ACCT 530L,ACCT 530L Ethics for Professional Accountants
121,ACCT 531T,ACCT 531T Taxation of Cross-Border Transactions Using Data Analytics
122,ACCT 532,ACCT 532 Financial Accounting for Mergers and Acquisitions
123,ACCT 533,ACCT 533 Mergers and Acquisitions: Tax Planning and Strategy
124,ACCT 535,ACCT 535 Management and Cost Accounting
125,ACCT 536,ACCT 536 Advanced Cost Analysis and Management Accounting
126,ACCT 537,"ACCT 537 Performance Measurement, Evaluation, and Incentives"
127,ACCT 540,ACCT 540 Technological Innovations in Accounting and Auditing
128,ACCT 541L,ACCT 541L Auditing in the Enhanced Data Age
129,ACCT 542,ACCT 542 Fraud Analytics in the Audit
130,ACCT 546,ACCT 546 Auditing and Assurance Services
131,ACCT 547,ACCT 547 Enterprise Information Systems
132,ACCT 548L,ACCT 548L IT Audit and Data Applications
133,ACCT 549,ACCT 549 Advanced Enterprise Systems and Technologies
134,ACCT 550T,ACCT 550T Tax Research and Professional Responsibilities
135,ACCT 551T,ACCT 551T Taxation of Partnerships and S-Corps
136,ACCT 554T,"ACCT 554T Research, Theory and Ethics in Taxation"
137,ACCT 557,ACCT 557 Advanced Financial Statement Auditing Topics
138,ACCT 558,ACCT 558 Advanced Accounting Valuation
139,ACCT 559,ACCT 559 Strategy and Operations Through CFO Lens
140,ACCT 560T,ACCT 560T Tax Theory and Ethics
141,ACCT 561T,ACCT 561T Income Tax of Corporations and Their Shareholders
142,ACCT 562,ACCT 562 Methods and Motivations of Financial Reporting Fraud
143,ACCT 563T,ACCT 563T Federal Estate and Gift Taxes
144,ACCT 567T,ACCT 567T Taxation of Transactions in Property
145,ACCT 568T,ACCT 568T International Taxation
146,ACCT 569T,ACCT 569T Advanced Partnership Taxation
147,ACCT 570T,ACCT 570T State and Local Tax Concepts
148,ACCT 571T,ACCT 571T Taxation of Business Owners and High Net-Worth Individuals
149,ACCT 572,ACCT 572 Corporate Accounting and Reporting
150,ACCT 573T,ACCT 573T Federal Tax Procedure
151,ACCT 574,ACCT 574 Accounting and Corporate Governance in Global Business
152,ACCT 575T,ACCT 575T Taxation of Financial Markets
153,ACCT 576T,ACCT 576T Tax Consolidations
154,ACCT 577T,ACCT 577T Compensation
155,ACCT 578T,ACCT 578T Advanced Corporate Taxation
156,ACCT 579T,ACCT 579T Advanced International Taxation
157,ACCT 580T,ACCT 580T Tax Accounting Methods
158,ACCT 581,ACCT 581 Financial Statement Analysis
159,ACCT 583,ACCT 583 Income Tax Accounting and Auditing
160,ACCT 584,ACCT 584 Family Wealth Preservation
161,ACCT 585,ACCT 585 Professional Responsibilities in Accounting
162,ACCT 587,ACCT 587 Forensic Accounting
163,ACCT 588,ACCT 588 Analysis and Implications of SEC Registration and Reporting
164,ACCT 590,ACCT 590 Directed Research
165,ACCT 592,ACCT 592 Field Research in Accounting
166,ACCT 593,ACCT 593 Independent Research in Accounting
167,ACCT 595,ACCT 595 Internship in Accounting
168,ACCT 596,ACCT 596 Research Practicum in Accounting
169,ACCT 597,ACCT 597 Consulting Project in Accounting
170,ACCT 599,ACCT 599 Special Topics
171,ACCT 601,ACCT 601 Applied Econometrics and Research Design
172,ACCT 602,ACCT 602 Judgment and Decision-Making Research in Accounting
173,ACCT 604,ACCT 604 Survey of Management Accounting Research
174,ACCT 605,ACCT 605 Survey of Financial Reporting Research
175,ACCT 606,ACCT 606 Survey of Tax Research
176,ACCT 608,ACCT 608 Positive Accounting Research
177,ACCT 610,ACCT 610 Survey of Accounting Research
178,ACCT 611,ACCT 611 Selected Topics in Accounting Research
179,ACCT 615,ACCT 615 Financial Reporting Research
180,ACCT 621,ACCT 621 Research Forum
181,ACCT 630,ACCT 630 Auditing and Archival Research
182,ACCT 641,ACCT 641 Debt Contracting and Banking Research
183,ACCT 642,ACCT 642 Research on Disclosure and Information Intermediaries
184,ACCT 661a,ACCT 661a Accounting Research Methodology
185,ACCT 661b,ACCT 661b Accounting Research Methodology
186,ACCT 699,ACCT 699 Special Topics
187,ACMD 501,ACMD 501 Introduction to Academic Medicine Worldwide
188,ACMD 502,ACMD 502 Becoming a Leader in Academic Medicine Worldwide
189,ACMD 503,ACMD 503 Leading Change in Academic Medical Centers
190,ACMD 511,ACMD 511 Competencies in Academic Medicine and Health I
191,ACMD 512,ACMD 512 Competencies in Academic Medicine and Health II
192,ACMD 513,ACMD 513 Professionalism in Academic Medicine and Health
193,ACMD 514,ACMD 514 Accreditation and Program Evaluation in Academic Medicine
194,ACMD 591,ACMD 591 Designing Research on Innovations in Academic Medicine
195,ACMD 592,ACMD 592 Implementing Research on Innovation in Academic Medicine
196,ACMD 593,ACMD 593 Foundations of Academic Writing
197,ACMD 598,ACMD 598 Fieldwork: Designing Innovations for the Health Professions
